run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
51,53.41762473207913,74.26553119799462,2561.580256305083,1.0523587427229568,0.05002726540366356,10.781743947794997,48,864.4285592952342,4,54.0
52,66.5741575783651,83.44008188639944,2246.642047383919,1.2100904663955794,0.05027803466244971,9.751398641324712,41,873.7177968480612,4,40.1
53,65.63576535443762,83.78898271181745,2161.38710320874,1.3648135190964352,0.05478745474941904,9.628662776409993,58,1152.8691597280365,4,42.8
54,58.952269459423334,77.89742130925931,2104.3127680409416,1.1719273883405488,0.04788474291599872,8.351334464705575,59,1032.0912574925392,4,42.6
55,63.2915908169545,75.1586562749075,2324.825952537273,1.2160662234934911,0.07016460952889995,9.874939315944093,71,946.2858518461397,4,56.3
56,55.58392340769647,78.57489768901057,2158.274229921692,1.0970850639678684,0.06356120918372998,10.989259330707512,92,1040.2498206504708,4,55.0
57,55.793304678287846,75.67526707530104,2369.1486224793307,1.1724461857127775,0.06014508023461085,10.357489719727427,69,1065.6294063977596,3,59.3
58,60.49431739079087,88.62133169228622,2468.115387395999,1.1118033893189014,0.058718388548801195,8.632818604572474,69,898.3016049061291,4,49.7
59,58.48491062443205,81.50063724533757,2341.3796148169777,1.2278178317681803,0.08173865936310072,11.507521363498467,60,1067.3666658404459,5,65.7
60,62.17267835550483,82.13741899468471,2513.544626037072,1.0105170333343025,0.0516737096152615,11.62560207310231,57,986.6147925133639,4,45.0
61,54.83910523144288,75.25764483766335,2320.6826312460908,1.1563722862933288,0.07199425996675703,8.535770103123925,38,1028.2046542027615,4,66.0
62,58.618854480844945,77.33193739032492,2145.9674964578253,1.0533678243597273,0.05488160902887672,10.163213538537997,45,1016.1021962095263,4,46.4
63,64.02956051872007,82.79343783077096,2209.933000059207,1.131431291597123,0.056775096337932436,9.498683575747648,59,863.3393122563625,4,44.0
64,62.20930228451612,81.09591897440875,2503.6196491529954,1.2263480007752168,0.07896930850244278,9.851883635366363,69,1043.0211695220905,4,64.1
65,63.6099055241022,68.0717038886698,2469.9298196380614,1.20048072489417,0.07238478329923766,10.942706597430846,49,940.8217739646799,4,61.4
66,54.71773945973541,73.88910507353496,2560.4119402046963,0.9980075492737215,0.060201318091960436,11.146570734646588,73,1106.7578590707994,3,61.2
67,60.564760867486235,82.87558460895018,2307.1901228033507,1.0039773590658343,0.06933102654124586,9.581594526988754,59,858.4933599355363,4,53.7
68,65.52645940355258,81.8552313936137,2160.514733629862,1.2323979751113305,0.042498983624132555,10.70475484201349,73,839.5207521385403,4,35.5
69,60.8994095802228,81.6234492664214,2202.701949539863,1.100239621818195,0.04924557965749081,9.745717063576313,69,906.3738921792512,4,41.6
70,61.051393919462235,79.95342668724771,2027.3080425539329,1.1577855838148017,0.0530404365095481,12.489657890923764,70,1009.0280531387375,3,43.9
71,52.19658582200319,85.09488039596715,2308.7107181095407,1.0469570361080056,0.060535439729721766,9.018416195942386,46,921.7219831642174,5,56.6
72,55.79408740612298,76.20587819773992,2109.750593548689,1.1858359224757469,0.06373763665843801,11.212824299604007,59,964.0643805929835,4,56.2
73,60.99021742255435,77.13862928467935,2337.4402449558715,1.253520104704679,0.07161483085370654,11.87639881277602,67,1085.8958355289174,4,59.3
74,66.58782900934116,83.35215559760276,2305.4930548903153,1.176364465823051,0.05867884994138703,9.106758468030634,47,1032.1753629208376,5,44.3
75,59.5639693056431,75.64595359570393,2088.2754185811145,1.3422193752058345,0.054506684543633284,10.070854711715022,65,1121.285771168364,4,48.0
76,65.78070098088428,81.4893785022591,2246.5665012002037,1.0585404394099316,0.05107487436751961,7.739513623326166,53,1100.736542056764,5,39.2
